,Id,Do you own a car?,What is your primary method of transportation for commuting to campus?,How many parking or traffic tickets have you received in the last year?,How many news articles do you read per week?,What is your height in inches?,What is your shoe size (using US Men's sizing?),How many course credits (excluding research) are you enrolled in this quarter,What is the area code of your personal phone number,How many first dates have  you been on in the last year?,How many weddings have you attended (as a guest) in the past 2 years?,How many days a week do you cook dinner?,How many cups of coffee do you drink in a typical week?,How many servings of alcohol do you consume in a typical week?,How many hours of sleep do you get on weeknights? (Sunday-Thursday),Have you ever voted in a national (presidential) election?,Have you ever had a full-time job?,How many years total have you live in the US?,Have you ever checked your credit score?,Did you get a seasonal flu vaccine this year (last 12 months)?,How old were you when you got your first cell phone?,How old were you when you got your first smart pone?,Which mobile operating system does your cellphone use?,Are you more of a cat person or a dog person?,Which best describes your primary field of study/research?
23,24,"No, but I regularly drive a borrowed or rented car",Bike,0,50,70,10,7,727,0,0,0,14,0,8,"No, but I am currently registered to vote","No, but I have had one or more full-time internships (<6 months each)",24,Now,Now,11,14,Android (google),Neither / both / don't know,Engineering or Math/Statistics
24,25,no,Walk,0,0,63,8,9,650,0,0,2,0,0,8,"No, but I am currently registered to vote","No, but I have had one or more full-time internships (<6 months each)",6,Now,Now,18,18,IOS (apple),Neither / both / don't know,Engineering or Math/Statistics
25,26,no,Bike,1,2,70,9.5,15,305,0,0,0,0,2,6.5,"No, and I am currently not registered to vote","No, but I have had one or more part-time job/internship (<40 hours/week)",10,Now,Now,12,15,IOS (apple),Dog,Engineering or Math/Statistics
26,27,no,Bike,0,4,66,8.5,14,626,0,0,0,2,0,6,"No, and I am currently not registered to vote","No, but I have had one or more full-time internships (<6 months each)",20,Now,Now,15,16,IOS (apple),Dog,Engineering or Math/Statistics
27,28,yes,Walk,0,50,64,4,17,650,4,3,1,10,1,10,"No, and I am currently not registered to vote",Yes,2,Yes,Yes,16,26,IOS (apple),Dog,"Humanities, Social Sciences or Other (including Law, Business and Education)"
28,29,,,,,,,,,,,,,,,,,,,,,,,,
30,31,yes,Bike,2,1,67,7,2,720,0,2,3,4,2,7,Yes,"No, but I have had one or more full-time internships (<6 months each)",21,Yes,Now,16,16,Android (google),Dog,"Natural sciences (e.g. Physics, Chemistry, Earth Sciences)"
31,32,yes,Bike,1,2,71,10.5,13,818,0,0,0,0,12,9,Yes,"No, but I have had one or more full-time internships (<6 months each)",21,Yes,Yes,15,17,IOS (apple),Dog,Engineering or Math/Statistics
33,34,no,Bike,0,2,71,9.5,19,562,1,0,1,4,8,8,"No, but I am currently registered to vote","No, but I have had one or more full-time internships (<6 months each)",19,Yes,Now,11,14,Android (google),Dog,Engineering or Math/Statistics
36,37,no,Bike,0,2,74,12,12,310,0,0,0,2,6,6,"No, but I am currently registered to vote","No, but I have had one or more part-time job/internship (<40 hours/week)",19,Now,Yes,13,16,IOS (apple),Dog,Engineering or Math/Statistics
37,38,no,Bike,0,10,63,6,9,650,2,3,0,5,2,7,Yes,Yes,26,Yes,Yes,15,22,IOS (apple),Dog,"Humanities, Social Sciences or Other (including Law, Business and Education)"
39,40,no,Bike,0,15,63,3,,650,0,1,1,3,0,7,"No, and I am currently not registered to vote",Yes,2,Yes,Yes,18,23,IOS (apple),Dog,"Humanities, Social Sciences or Other (including Law, Business and Education)"
40,41,"No, but I regularly drive a borrowed or rented car",Bike,0,5,67,10,10,626,0,1,6,6,2,7,"No, and I am currently not registered to vote","No, but I have had one or more full-time internships (<6 months each)",0.65,Yes,Now,12,17,IOS (apple),Dog,Engineering or Math/Statistics
42,43,yes,Bike,1,1,75,12,4,859,3,0,0,0,6,8.5,"No, and I am currently not registered to vote",No,25,Now,Now,15,24,Android (google),Dog,"Natural sciences (e.g. Physics, Chemistry, Earth Sciences)"
43,44,yes,Bike,2,10,73,11.5,13,203,4,0,0,0,20,7.5,"No, but I am currently registered to vote",Yes,19,Yes,Yes,13,15,IOS (apple),Dog,Engineering or Math/Statistics
44,45,,,,,,,,,,,,,,,,,,,,,,,,
45,46,no,Bike,0,3,62,5,10,530,0,0,1,0,1,7,"No, and I am currently not registered to vote",Yes,3,Now,Now,12,22,IOS (apple),Neither / both / don't know,"Humanities, Social Sciences or Other (including Law, Business and Education)"
47,48,yes,Bike,0,15,65,7,4,650,4,0,4,8,3,7,"No, and I am currently not registered to vote",Yes,3,Now,Now,16,20,IOS (apple),Neither / both / don't know,Engineering or Math/Statistics
48,49,yes,Bike,3,5,70,11.5,4,832,2,1,5,0,6,9,Yes,"No, but I have had one or more full-time internships (<6 months each)",23,Now,Yes,13,17,Android (google),Dog,Engineering or Math/Statistics
50,51,no,Public transport,0,30,66,8,14,650,0,0,5,15,6,5,"No, but I am currently registered to vote",Yes,2,Now,Now,18,18,Android (google),Neither / both / don't know,Engineering or Math/Statistics
51,52,yes,Bike,1,8,72,12.5,16,650,0,0,0,0,0,8,"No, but I am currently registered to vote","No, but I have had one or more full-time internships (<6 months each)",20,Yes,Yes,14,14,IOS (apple),Dog,Engineering or Math/Statistics
53,54,no,Bike,0,8,66,7,15,217,0,2,5,7,1,6.5,Yes,Yes,28,Yes,Now,15,22,IOS (apple),Dog,"Humanities, Social Sciences or Other (including Law, Business and Education)"
55,56,no,Bike,1,5,70,,8,650,0,1,3,20,0,7,Yes,Yes,1,Now,Now,12,20,IOS (apple),Neither / both / don't know,Engineering or Math/Statistics
56,57,yes,Bike,0,20,65,5.5,6,209,0,1,0,5,1,8,Yes,No,25,Yes,Yes,13,15,IOS (apple),Neither / both / don't know,Medical or Life Sciences
57,58,no,Walk,0,10,70,8,9,650,4,1,5,16,1,7,Yes,Yes,2,Now,Now,16,25,IOS (apple),Dog,"Humanities, Social Sciences or Other (including Law, Business and Education)"
58,59,yes,Public transport,0,3,61,3,3,650,2,3,3,3,0,7,"No, and I am currently not registered to vote","No, but I have had one or more full-time internships (<6 months each)",7,Yes,Now,15,24,Android (google),Neither / both / don't know,Engineering or Math/Statistics
59,60,yes,Bike,0,10,73,9.5,1,415,1,1,6,0,2,40,Yes,"No, but I have had one or more full-time internships (<6 months each)",27,Yes,Yes,16,26,Android (google),Neither / both / don't know,"Natural sciences (e.g. Physics, Chemistry, Earth Sciences)"
60,61,yes,Bike,0,50,65,5.5,10,805,1,1,2,3,0,8,Yes,Yes,11,Yes,Now,12,21,Android (google),Dog,"Natural sciences (e.g. Physics, Chemistry, Earth Sciences)"
61,62,yes,Bike,0,5,63.7,5,3,650,1,1,3,4,1,7,"No, and I am currently not registered to vote",No,4,Yes,Now,16,22,Android (google),Dog,Engineering or Math/Statistics
64,65,yes,Car,0,2,73,10.5,14,650,1,0,0,0,0,6.5,"No, and I am currently not registered to vote","No, but I have had one or more full-time internships (<6 months each)",0.6,Now,Now,12,14,IOS (apple),Neither / both / don't know,Engineering or Math/Statistics
65,66,yes,Bike,1,15,67,8,8,512,1,0,0,0,2,8,Yes,"No, but I have had one or more full-time internships (<6 months each)",24,Yes,Yes,18,20,Android (google),Dog,Engineering or Math/Statistics
67,68,yes,Bike,0,21,77,13,8,541,0,1,4,2,2,6.5,Yes,Yes,23,Now,Yes,12,16,IOS (apple),Dog,Engineering or Math/Statistics
69,70,yes,Bike,1,4,71,9,8,650,0,0,0,10,4,8,Yes,Yes,24,Yes,Yes,12,18,IOS (apple),Cat,Engineering or Math/Statistics
70,71,yes,Bike,0,20,66,7,10,216,0,0,3,0,0,8,Yes,Yes,27,Yes,Yes,16,20,Android (google),Dog,"Humanities, Social Sciences or Other (including Law, Business and Education)"
72,73,no,Walk,0,20,65,6,13,703,0,20,1,7,0,7,Yes,Yes,21,Yes,Yes,13,17,IOS (apple),Neither / both / don't know,Engineering or Math/Statistics
73,74,"No, but I regularly drive a borrowed or rented car",Car,0,3,69,10,8,626,0,0,0,0,8,8,Yes,"No, but I have had one or more full-time internships (<6 months each)",22,Now,Now,12,,Android (google),Neither / both / don't know,Engineering or Math/Statistics
74,75,no,Bike,0,10,67,6,4,302,0,1,3,7,1,8,"No, but I am currently registered to vote","No, but I have had one or more full-time internships (<6 months each)",20,Yes,Yes,16,22,IOS (apple),Dog,Engineering or Math/Statistics
79,80,"No, but I regularly drive a borrowed or rented car",Bike,0,0,66,7.5,10,650,2,5,3,0,0,8,"No, and I am currently not registered to vote",Yes,0.5,Yes,Now,14,20,Android (google),Cat,Engineering or Math/Statistics
82,83,yes,Bike,2,5,72,9,12,303,1,0,3,10,0,6,Yes,"No, but I have had one or more full-time internships (<6 months each)",22,Now,Yes,13,16,IOS (apple),Dog,Engineering or Math/Statistics
84,85,no,Bike,0,5,62,3.5,11,916,6,1,0,6,12,7,"No, and I am currently not registered to vote","No, but I have had one or more full-time internships (<6 months each)",21,Now,Yes,14,18,Android (google),Dog,Engineering or Math/Statistics
86,87,yes,Walk,0,2,65,6.5,10,650,1,0,3,5,0,7,"No, and I am currently not registered to vote",No,2,Now,Yes,15,20,IOS (apple),Neither / both / don't know,"Natural sciences (e.g. Physics, Chemistry, Earth Sciences)"
87,88,no,Bike,0,20,69,10,10,510,0,2,3,0,0,7,"No, and I am currently not registered to vote",Yes,0,Now,Now,17,24,Android (google),Neither / both / don't know,Engineering or Math/Statistics
88,89,yes,Bike,0,25,72,8.5,13,734,0,0,0,0,1,7,"No, and I am currently not registered to vote",No,0,Now,Now,18,20,IOS (apple),Neither / both / don't know,Engineering or Math/Statistics
